,CAS,SMILES,Exp. CF,Pred. CF,Exp. Conc. (mmol/ml),Pred. Conc. (mmol/ml)
0,90098-04-7,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1.02449,1.1299069,0.0010248333297374,0.0009292193782725
1,41859-67-0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.71388,0.8059367,0.0011828922821806,0.0010477762003453
2,128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.4086,0.4727416,0.0018333968668881,0.0015846434452234
3,57149-07-2,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,1.15238,1.1111081,0.0011006397468528,0.0011415243993514
4,69-72-7,O=C(O)c1ccccc1O,0.40759,0.3873018,0.0031276697412432,0.0030172176964587
5,95-25-0,O=c1[nH]c2cc(Cl)ccc2o1,0.51927,0.49032155,0.0023825390553586,0.0025231816065308
6,59-06-3,CCOc1cc(NC(C)=O)ccc1C(=O)OC,0.72046,0.68426824,0.0016859497165497,0.0017751252535057
7,480-41-1,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1.11917,0.9169839,0.0015867418899858,0.0019366018750594
8,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.51164,0.5370158,0.0015855838714408,0.0015106617297261
9,103-84-4,CC(=O)Nc1ccccc1,0.36331,0.41510767,0.003196070017608,0.0027972639403923
10,4105-38-8,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,0.31297,0.32297868,0.0010801644010218,0.0011095094996453
11,284461-73-0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1.48597,1.5471959,0.0009293700291073,0.0008925905294602
12,552-94-3,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0.71696,0.66956097,0.0016264633329331,0.0017416106376994
13,"198904-31-3
",COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0.9222,0.94044524,0.0005958554000814,0.000584292956176
14,"68-96-2
",CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.31959,0.28048062,0.0012225086846532,0.0013653711319713
15,64506-49-6,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,1.57265,1.7849097,0.000825692349694,0.0007275036947886
16,101-20-2,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,1.06302,1.0855864,0.001343528092095,0.0013156030273175
17,"152459-95-5
",Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1.495,1.7924231,0.0008751759974879,0.0007299551780127
18,7085-55-4,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1.18736,1.5353562,0.000570905369742,0.0004415086368033
19,58-39-9,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.6742,0.95056236,0.0009208399446505,0.0006531142564075
