SMILES,CF
Cc1ccnc(N)n1,0.26133
CNCc1ccccc1,0.09213
CC(=O)c1ccc[nH]1,0.4218
COC(=O)c1csc(N)n1,0.38641
c1ccc(CNCc2ccccc2)cc1,0.32414
Nc1ccn[nH]1,0.07775
CCNCc1ccccc1,0.11207
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,0.46928
CC(C)(C)S(N)=O,0.01587
Nc1ccc(Oc2ccccc2)cc1,0.69896
Nc1ccc2c(c1)OCO2,0.34165
CCc1ncc[nH]1,0.09682
Nc1ccc(C(=O)c2ccccc2)cc1,1.06534
Cc1cccc2sc(N)nc12,0.64268
O=C(O)c1ccc(Br)cc1F,0.4301
Nc1ccccc1OC(F)(F)F,0.37613
O=C(O)c1ccc(Br)o1,0.26559
Cc1nnc(N)s1,0.15805
Nc1ncccn1,0.20839
CC(=O)N1CCNCC1,0.08772
CNCc1cccc2ccccc12,0.64447
Nc1ccc(S)cc1,0.47878
O=C(O)c1ccc(Cl)s1,0.33152
Nc1ncc([N+](=O)[O-])s1,0.496
Cc1cc[nH]n1,0.07322
Nc1cccc(OC(F)(F)F)c1,0.3794
COC(=O)c1sc(-c2ccccc2)cc1N,0.96419
Nc1cccc(OCc2ccccc2)c1,0.65497
Cc1cc(N)n(-c2ccccc2)n1,0.49856
CSc1ccc(N)cc1,0.54932
Nc1cccc2cnccc12,0.81626
Nc1nc2ccccc2s1,0.6103
c1ccc2[nH]ccc2c1,0.60469
Cc1ccc(N)nc1,0.22122
Cc1cccc2[nH]ccc12,0.51027
COC(=O)c1nccnc1N,0.16458
O=C(OCc1ccccc1)[C@@H]1CCCN1,0.11745
COc1nc(C)nc(N)n1,0.17007
CC(C)(C)OC(=O)Nc1nccs1,0.2183
Nc1ccc(Cl)cc1C(=O)C(F)(F)F,0.29287
COc1ccc2nc(N)sc2c1,0.56488
N#Cc1ccccc1N,0.5139
c1cnc(N2CCNCC2)nc1,0.20666
COC(=O)c1sccc1N,0.31905
Cc1cc(N)n(C)n1,0.13271
CCOC(=O)C=C(N)C(F)(F)F,0.2237
Nc1ccccc1C(=O)c1ccccc1,0.76017
Nc1nnc(S)s1,0.20791
Nc1ncccc1OCc1ccccc1,0.47195
Nc1ccc([N+](=O)[O-])cn1,0.71074
Nc1ccccc1S(=O)(=O)c1ccccc1,0.51799
CC(N)c1cccc2ccccc12,0.58547
Nc1ccc(N2CCOCC2=O)cc1,0.30753
Nc1cccc(F)c1F,0.23875
COC(=O)c1ccsc1N,0.39126
c1ccc2[nH]cnc2c1,0.20576
COC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.20115
CNc1nc(C)nc(OC)n1,0.25375
Nc1cc(Cl)ncn1,0.32694
CCOC(=O)Cc1csc(N)n1,0.07481
N#Cc1cc(N)ccc1F,0.43587
NN=C(c1ccccc1)c1ccccc1,0.72795
COC(=O)c1ccc(C(=O)OC)c(N)c1,0.6024
CCOC(=O)c1csc(N)n1,0.27377
NS(=O)(=O)c1ccccc1[N+](=O)[O-],0.15347
CC(=O)c1ccccc1N,0.31842
Nc1nc(O)cs1,0.07726
Nc1cccc2cccnc12,0.61901
CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,0.46537
CCOC(=O)c1cccc(N)c1,0.32292
COc1cccc(NC(=O)OC(C)(C)C)c1,0.70009
CNc1ccccc1C,0.38218
CNc1ccccc1[N+](=O)[O-],0.44434
COC(=O)c1ccc(N)cc1,0.61201
N#Cc1ccc(N)cc1C(F)(F)F,0.63189
CNS(=O)(=O)c1ccc(C)cc1,0.36766
COc1ccc(N)cn1,0.24879
CC1Cc2ccccc2N1,0.24845
NCc1ccc(O)cc1,0.1829
COc1cc(N)ncn1,0.39974
CCOC(=O)c1sc(N)nc1C,0.31039
CC(=O)c1cccc(N)c1O,0.47305
Cc1cnc(N)s1,0.17259
NC(CO)c1ccccc1,0.08669
Cc1cc(C)nc(N)n1,0.35239
CC(C)Nc1ccccc1,0.30351
N#Cc1c(N)cccc1F,0.47801
Cc1ccc(S(=O)(=O)NC2CCCCC2)cc1,0.38465
Nc1cccc2c1C(=O)c1ccccc1C2=O,1.00439
NC(c1ccccc1)c1ccccc1,0.38677
c1ccc(N2CCNCC2)cc1,0.37559
Nc1ccc(N2CCOCC2)c(F)c1,0.30378
c1ccc2n[nH]nc2c1,0.41432
NS(=O)(=O)c1ccccc1,0.21538
COC(=O)c1cc(N)cc(C(=O)OC)c1,0.71449
O=C(O)CNc1ccccc1,0.35046
NS(=O)(=O)c1ccc(C(=O)O)cc1,0.36146
O=C(O)c1cc2ccccc2[nH]1,0.79166
Nc1ccc(C(=O)O)cc1,0.50368
Cc1cc(Cl)cc(C(=O)O)c1N,0.66202
Nc1ccc(C(=O)O)c(Cl)c1,0.47066
Cc1ccc(N)c(C(=O)O)c1,0.56661
c1ccc(CNc2ccccc2)cc1,0.562
N#Cc1cccc(N)c1,0.49915
O=C(O)c1ccc(F)c(Br)c1,0.44023
Nc1ccc(Cl)cc1C(=O)O,0.52655
O=C(N[C@H](C(=O)O)C1CCCCC1)OCc1ccccc1,0.13544
O=C(O)CCc1c[nH]c2ccccc12,0.58943
O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1,0.34607
O=C(O)Cc1c[nH]c2ccccc12,0.47976
CC(=O)c1ccccc1Cl,0.22191
O=C1CCc2cc(Cl)ccc21,0.52799
CC(=O)c1cc(Cl)cc([N+](=O)[O-])c1O,0.56405
CCOC(=O)c1cc2c(=O)c3cc(C(C)C)ccc3oc2nc1N,1.45349
c1ccc2c(c1)Cc1ccccc1N2,0.61871
Cc1cc(=O)oc2cc(N)ccc12,0.90076
Nc1ccc2c(c1)OCCO2,0.34644
Nc1ccc2c(c1)CCCC2=O,0.52583
CC1=CC(C)(C)Nc2ccccc21,0.42337
COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CCl,1.22575
Oc1cc2ccccc2[nH]1,0.36864
NN1C(=O)c2ccccc2C1=O,0.67245
c1cnc2c(c1)CCN2,0.24474
CCCn1c(=O)c(C)cn2nc(N)nc12,0.59782
Nc1nc2c(s1)C(=O)CCC2,0.49863
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0.51238
Nc1cnn(-c2ccccc2)c(=O)c1,0.56386
Nc1cnn(-c2ccccc2)c(=O)c1Cl,0.76229
CC(=O)OC1C(C)OC(n2cc(F)c(N)nc2=O)C1OC(C)=O,0.44607
CC1CCC(C(C)C)C(OC(=O)C2OC(n3cc(F)c(N)nc3=O)CS2)C1,0.4328
Nc1ccon1,0.08112
Nc1cnns1,0.18435
Cc1cc(N)on1,0.14627
Cc1cc(N)no1,0.11436
NCc1cccs1,0.08066
Cc1nsc(N)n1,0.1512
Cc1cccc(F)c1Br,0.23808
CCc1nn(C)c(C(=O)O)c1Cl,0.1264
COc1cccc(F)c1Br,0.37803
O=C(O)c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,0.68224
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0.48282
Cn1cnc([N+](=O)[O-])c1Cl,0.40869
Cn1c(Cl)cc(=O)n(C)c1=O,0.27262
COC(=O)c1ccc(F)c(Br)c1,0.46331
CC(=O)c1ccc(F)c(Br)c1,0.50625
Fc1ccc(C(F)(F)F)cc1Br,0.24806
N#Cc1ccc(C(F)(F)F)cc1Cl,0.51085
Cc1cc(Cl)ncc1N,0.41997
Cc1cc(Br)ncc1[N+](=O)[O-],0.38033
Cc1ccc(C#N)c(Br)c1,0.47385
Cc1cc(F)cc(Br)c1,0.28405
Cc1ccc(F)c(Br)c1,0.25772
COc1cc(F)cc(Br)c1,0.43802
Cc1ccc(F)cc1Br,0.22993
Fc1ccc(C(F)(F)F)c(Br)c1,0.26122
O=Cc1ccc(F)cc1Br,0.41923
O=C(O)Cc1ccc(F)cc1Br,0.29843
CC(=O)Nc1ccc(F)cc1Br,0.34955
Oc1ccc(F)cc1Br,0.32337
COc1ccc(F)cc1Br,0.4072
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,0.7779
Nc1ccnc(Cl)c1,0.29541
Oc1cc(F)cc(Br)c1,0.38522
Cc1cc([N+](=O)[O-])c(OC(C)C)cc1Br,0.47859
COc1cc(Br)cc(OC)c1,0.41577
COc1cc(Br)cc([N+](=O)[O-])c1,0.48806
COc1cc(Cl)nc(N)n1,0.33209
N#Cc1cc([N+](=O)[O-])cc(Br)c1N,0.66719
O=[N+]([O-])c1cc(Br)cc(C(F)(F)F)c1,0.4734
O=C(O)c1ccc([N+](=O)[O-])cc1Cl,0.41465
O=[N+]([O-])c1ccc(F)c(Br)c1,0.40273
O=c1ccc(Cl)n[nH]1,0.27221
Cc1cc(Br)ccc1C#N,0.52758
N#Cc1ccc(Cl)cc1[N+](=O)[O-],0.5812
N#Cc1ccc(Br)cc1,0.50267
N#Cc1ccc(Cl)c([N+](=O)[O-])c1,0.58342
CC(C)(C)NC(=O)c1ccc(Cl)nc1,0.35271
COc1cc(Cl)ccc1C(=O)O,0.3478
O=C(O)c1ccc(Cl)c(C(F)(F)F)c1,0.37566
O=C(O)c1ccc(Br)cn1,0.28825
O=C(O)c1ccc(Br)c(F)c1,0.42539
COC(=O)c1ccc(Br)cc1F,0.42143
COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.4691
COC(=O)c1ccc(Br)cc1,0.41494
COC(=O)c1ccc(Cl)c(N)c1,0.57552
COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.5336
COC(=O)c1ccc(Cl)nc1,0.33455
Fc1cc(Br)ccc1C(F)(F)F,0.23203
Cc1ccc(Br)c(F)c1,0.30236
O=Cc1ccc(Br)cc1F,0.45285
Clc1ccc(Cc2nc3ccccc3[nH]2)cc1,0.8705
CC(=O)c1cc(Br)ccc1F,0.33944
Fc1ccc(Br)cc1C(F)(F)F,0.17425
Cc1cc(Br)ccc1F,0.24276
Oc1cc(Br)ccc1F,0.2829
COc1cc(Br)ccc1F,0.368
Fc1ccc(Br)cc1,0.13957
Cc1cc(F)ccc1Br,0.30903
Fc1ccc(Br)nc1,0.14126
Fc1ccc(Br)c(C(F)(F)F)c1,0.19525
Fc1ccc(Br)cn1,0.14283
Nc1ccc(Cl)nc1,0.35899
Nc1ccc(Cl)nn1,0.30962
