RXN Smiles,yield_real,yield_cal,yield_220nm,yield_254nm
Cc1ccnc2ccccc12.CO>>Cc1cc(C)c2ccccc2n1,0.942067812419738,49.09329,15.34,7.72
c1ccc2cnccc2c1.CC(C)CO>>CC(C)Cc1nccc2ccccc12,58.6476312706748,52.67251,35.49,20.89
Cc1cc2ccccc2cn1.CC(C)CO>>Cc1cc2ccccc2c(CC(C)C)n1,41.6186283631778,37.36789,20.53,15.54
c1ccc2cnccc2c1.CCCO>>CCCc1nccc2ccccc12,2.07998428642771,76.39455,0,0
c1ccc2cnccc2c1.OCCC1CCOCC1>>c1ccc2c(CCC3CCOCC3)nccc2c1,83.841777352125,100,47.95,44.71
Cc1ccnc2ccccc12.OCCCO>>Cc1cc(CCCO)nc2ccccc12,27.5641503516449,58.62618,47.78,17.45
c1ccc2cnccc2c1.CCO>>CCc1nccc2ccccc12,2.6983104553443,60.47022,47.4,33.34
c1ccc2cnccc2c1.OCCCO>>OCCCc1nccc2ccccc12,30.8621592834691,86.94665,37.29,26.11
c1ccc2cnccc2c1.OCCc1ccccc1>>c1ccc(CCc2nccc3ccccc23)cc1,37.8233908780677,41.53704,26.42,56.53
Cc1cc2ccccc2cn1.OCCC1CCOCC1>>Cc1cc2ccccc2c(CCC2CCOCC2)n1,65.1181558782764,69.41253,35.89,32.54
Fc1ccc2cnccc2c1.OCCCCO>>OCCCCc1nccc2cc(F)ccc12,62.5903910477682,32.55844,32.1,13.5
Fc1ccc2cnccc2c1.OCCc1ccccc1>>Fc1ccc2c(CCc3ccccc3)nccc2c1,7.09781099458504,44.25562,18.67,25.36
Cc1ccc2cnccc2c1.OCCCCO>>Cc1ccc2c(CCCCO)nccc2c1,72.9092228396206,100,51.01,31.99
Fc1ccc2cnccc2c1.CCCO>>CCCc1nccc2cc(F)ccc12,38.285010501696,87.48895,37.6,30.22
CC(C)c1ccc2cnccc2c1.CCO>>CCc1nccc2cc(C(C)C)ccc12,49.3747847048975,90.36892,45.35,12.07
c1ccc(-c2ccccn2)cc1.CO>>Cc1cccc(-c2ccccc2)n1,3.48928362500522,100,24.69,69.6
Fc1ccc2cnccc2c1.CO>>Cc1nccc2cc(F)ccc12,75.1855416165312,100,64.88,9.39
Cc1ccc2cnccc2c1.CCCO>>CCCc1nccc2cc(C)ccc12,67.4103880788726,100,47.46,32.4
Clc1ccc2cnccc2c1.CCO>>CCc1nccc2cc(Cl)ccc12,1.48295826506557,60.24646,32.7,11.04
Cc1ccc2cnccc2c1.CO>>Cc1ccc2c(C)nccc2c1,63.8082898385671,100,46.21,27.85
CC(C)c1ccc2cnccc2c1.CCCO>>CCCc1nccc2cc(C(C)C)ccc12,29.1803054503556,51.98251,27.64,22.81
c1ccc(-c2ccccn2)cc1.OC1CCC1>>c1ccc(-c2cccc(C3CCC3)n2)cc1,5.14536001943177,46.74134,17.49,38.06
Clc1ccc2ccccc2n1.CCO>>CCc1cc(Cl)nc2ccccc12,0.522168403192099,10.61035,6.36,9.66
Cc1ccc2cnccc2c1.CCO>>CCc1nccc2cc(C)ccc12,72.9496843626702,100,0,0
Clc1ccc2cnccc2c1.CCCO>>CCCc1nccc2cc(Cl)ccc12,0.291887831186589,43.35996,16.11,18.49
Clc1ncnc2ccccc12.CCCO>>CCCc1nc(Cl)c2ccccc2n1,5.04076912865536,7.43404,4.96,6.9
