RXN Smiles,yield_real,yield_cal,yield_220nm,yield_254nm
CCc1cc(Br)ccc1C(=O)O.CC1(C)OB(c2ccc3cc[nH]c3c2)OC1(C)C>>CCc1cc(-c2ccc3cc[nH]c3c2)ccc1C(=O)O,5.26341994493683,18.22666,12.11,37.35
Nc1ncc2ccc(Br)cc2n1.COc1ccncc1B(O)O>>COc1ccncc1-c1ccc2cnc(N)nc2c1,8.40167780458865,27.99647,46.62,82.47
Nc1ncc2cc(Br)ccc2n1.Cc1ccc(B(O)O)cn1>>Cc1ccc(-c2ccc3nc(N)ncc3c2)cn1,32.5251874373182,53.45534,82.06,94.63
Nc1cccc(Br)n1.CC1(C)OB(C2=CCC3(CC2)OCCO3)OC1(C)C>>Nc1cccc(C2=CCC3(CC2)OCCO3)n1,27.3010937971381,62.35767,14.4,33.61
OCc1cc(Br)ccn1.CC(C)(C)n1cc(B2OC(C)(C)C(C)(C)O2)cn1>>CC(C)(C)n1cc(-c2ccnc(CO)c2)cn1,44.5576437148062,100,0,0
Nc1ccc(I)cc1.CC(C)=CB(O)O>>CC(C)=Cc1ccc(N)cc1,3.3576662178979,22.68765,0,0
Nc1cc(Br)ccc1C(=O)O.COc1ccc(B(O)O)cc1>>COc1ccc(-c2ccc(C(=O)O)c(N)c2)cc1,16.8093854009263,69.97251,41.21,43.35
O=C(O)c1cncc(Br)c1.CC1(C)OB(c2cccc(S(C)(=O)=O)c2)OC1(C)C>>CS(=O)(=O)c1cccc(-c2cncc(C(=O)O)c2)c1,25.2655281225517,34.55816,48.61,61.02
Cc1cc(Br)cc(N)n1.CC1(C)OB(c2ccc(O)c(F)c2)OC1(C)C>>Cc1cc(-c2ccc(O)c(F)c2)cc(N)n1,48.096738292088,100,43.81,34.75
OCc1cc(Br)ccn1.CC1(C)OB(C2=CCCC2)OC1(C)C>>OCc1cc(C2=CCCC2)ccn1,13.7573134132422,100,38.69,28.33
Nc1cccc(I)n1.CC(C)n1ccc(B2OC(C)(C)C(C)(C)O2)n1>>CC(C)n1ccc(-c2cccc(N)n2)n1,36.8022304002575,20.83221,9.47,55.66
CS(=O)(=O)Nc1cccc(Br)c1.CC1(C)OB(c2ccc(CO)cc2)OC1(C)C>>CS(=O)(=O)Nc1cccc(-c2ccc(CO)cc2)c1,46.3060479695957,93.05376,0,0
O=Cc1ccccc1Br.Cc1cc(B2OC(C)(C)C(C)(C)O2)ccc1N>>Cc1cc(-c2ccccc2C=O)ccc1N,3.3073880864008,19.3226,36.97,43.47
CC(N)c1cccc(Br)c1.Cn1cc(B(O)O)cn1>>CC(N)c1cccc(-c2cnn(C)c2)c1,19.3004407110343,57.67148,28.79,66.74
Brc1cccc2c1OCC2.CC1(C)OB(c2cnc(N)nc2)OC1(C)C>>Nc1ncc(-c2cccc3c2OCC3)cn1,18.4010152522479,11.78157,40.53,53.92
OCc1csc(Br)n1.CC1(C)OB(C2=CCCC2)OC1(C)C>>OCc1csc(C2=CCCC2)n1,37.8568302230016,77.13513,27.97,22.6
Nc1ccc2cc(Br)ccc2n1.COc1ncc(B(O)O)cn1>>COc1ncc(-c2ccc3nc(N)ccc3c2)cn1,0,1.27881,3.6,9.76
Nc1cc(I)ncn1.CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)C1>>CC(C)(C)OC(=O)N1CC=C(c2cc(N)ncn2)C1,44.4364311907943,68.37254,32.18,28.29
O=Cc1sccc1Br.O=c1[nH]cccc1B(O)O>>O=Cc1sccc1-c1ccc[nH]c1=O,14.3279367786908,39.76066,30.46,36.05
O=c1ccc(Br)n[nH]1.COc1cc(F)ccc1B1OC(C)(C)C(C)(C)O1>>COc1cc(F)ccc1-c1ccc(=O)[nH]n1,5.74781400019511,54.34899,29.86,20.47
FC(F)(F)c1cccc(Br)n1.CC1(C)OB(C2=CCNCC2)OC1(C)C>>FC(F)(F)c1cccc(C2=CCNCC2)n1,8.76837327599355,75.41136,29.55,45.5
COc1cccc(Br)n1.CC1(C)OB(C2=CCNCC2)OC1(C)C>>COc1cccc(C2=CCNCC2)n1,3.174321754,99.7615,47.09,47.38
NCc1ccc(Br)c(F)c1.Cc1ccc(B2OC(C)(C)C(C)(C)O2)o1>>Cc1ccc(-c2ccc(CN)cc2F)o1,17.7116791077365,100,0,0
O=Cc1c(F)cccc1Br.NS(=O)(=O)c1cccc(B(O)O)c1>>NS(=O)(=O)c1cccc(-c2cccc(F)c2C=O)c1,30.4084736540061,10.29943,9.25,1.18
Brc1ccc2c(c1)CNCC2.Cc1ccccc1B(O)O>>Cc1ccccc1-c1ccc2c(c1)CNCC2,27.7580803645408,88.16947,70.41,70.11
Cc1ccc(Br)cc1O.CC1(C)OB(c2ccc3[nH]nc(N)c3c2)OC1(C)C>>Cc1ccc(-c2ccc3[nH]nc(N)c3c2)cc1O,45.3809823452592,51.59869,49.59,62.55
Brc1cnc(NC2CC2)nc1.CC1(C)OB(/C=C/c2ccccc2)OC1(C)C>>C(=Cc1cnc(NC2CC2)nc1)c1ccccc1,31.3542488246323,76.14268,45.4,23.92
Cc1ccc(N)c(Br)n1.CC1(C)OB(c2ccc(N3CCCC3)cc2)OC1(C)C>>Cc1ccc(N)c(-c2ccc(N3CCCC3)cc2)n1,42.9505015225844,88.4657,61.54,79.59
Nc1ccc(I)cc1F.CC1(C)OB(C2=CC(=O)CCC2)OC1(C)C>>Nc1ccc(C2=CC(=O)CCC2)cc1F,44.1449260776576,84.79593,31.55,31.02
Brc1ccc2c(c1)CNCC2.CC1(C)OB(c2cccc3ccccc23)OC1(C)C>>c1ccc2c(-c3ccc4c(c3)CNCC4)cccc2c1,42.026689605331,100,67.07,44.49
OCc1csc(Br)n1.CC1(C)OB(C2=CCC3(CC2)OCCO3)OC1(C)C>>OCc1csc(C2=CCC3(CC2)OCCO3)n1,34.5387656368371,76.18872,23.99,25.49
Nc1ncc(CO)cc1Br.COc1c(F)cc(F)cc1B(O)O>>COc1c(F)cc(F)cc1-c1cc(CO)cnc1N,56.6407001675104,80.9547,56.21,60.39
Cc1csc(Br)n1.CC1(C)OB(c2ccc(N)cc2F)OC1(C)C>>Cc1csc(-c2ccc(N)cc2F)n1,42.6718983582049,87.43156,48.96,22.94
Cc1ccc(N)nc1Br.CC(C)c1ccccc1B(O)O>>Cc1ccc(N)nc1-c1ccccc1C(C)C,45.1152820681848,77.36886,38.98,33.66
